"opt","p1","p2","p3","p4","p5","p6","p7","p8"
16,0.507633545316461,0.504422542657564,0.525179855869293,0.509097242512825,0.559756244008058,0.579347044897864,0.317190648614804,0.46716392655384
7,0.527396150785086,0.51120018241986,0.203047333911006,0.524916494504906,0.71241453571642,0.177429003473018,0.811703422882905,0.719806482684347
12,0.508173367048067,0.506424527243706,0.533405621770992,0.505122724702739,0.235777283327849,0.572555668512475,0.737546978974298,0.418835204517219
8,0.539196318641821,0.489007580694464,0.18284771615404,0.505831867050881,0.684972008135683,0.572905023296303,0.7899029273157,0.337265790243375
15,0.495466874604342,0.498424803836107,0.53708566160696,0.507025110256107,0.592070972552564,0.180437030323161,0.369053323812399,0.76919971337759
11,0.513797142083218,0.521828893361476,0.54210310422841,0.486229656107826,0.25861748281029,0.185918637666715,0.752162157648901,0.752494580439642
10,0.506529378593162,0.553705759870354,0.635119593386965,0.0767532972580132,0.450842594024531,0.636412134801503,0.850532817969603,0.8511460225612
3,0.165055885518086,0.435664356681324,0.649967021054181,0.546981423836163,0.771131846374677,0.16575912587723,0.85104352220272,0.663985760091843
14,0.473462318165266,0.467041901612122,0.642132690841598,0.0719164805581831,0.770992076062426,0.706446818755559,0.696342947018542,0.831092774122003
4,0.165783953747966,0.495657775182785,0.663149744359438,0.511800982711667,0.744680318894203,0.555294081326574,0.827928134776991,0.285499129607766
6,0.560663548710925,0.53201985435391,0.242551948039115,0.0624918877464634,0.721071909150024,0.662772094979036,0.851075142124583,0.838755590862341
2,0.134365660604089,0.65053633780388,0.643771591003646,0.0767835490193895,0.783365894701671,0.643807096935978,0.892763954883611,0.802287634991279
